"filename", "language", "JavaScript", "Markdown", "SCSS", "TypeScript", "JSON", "XML", "CSS", "vue", "HTML", "JSON with Comments", "comment", "blank", "total"
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\chat-header\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 13, 89
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\config.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 11, 84
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\emoji-config\custom-emoji.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 5, 16
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\emoji-config\default-emoji.ts", "TypeScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 9, 5, 115
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\emoji-config\index.ts", "TypeScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 32, 18, 141
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\emoji-config\locales\en.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\emoji-config\locales\zh_cn.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\emoji-config\locales\zh_tw.ts", "TypeScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 2, 67
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\entry-chat-only.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 11, 4, 36
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\forward\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 16, 160
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 1, 24, 306
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\emoji-picker\emoji-picker-dialog.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 11, 183
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\emoji-picker\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\emoji-picker\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 8, 82
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\emoji-picker\style\h5.scss", "SCSS", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\emoji-picker\style\index.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\emoji-picker\style\web.scss", "SCSS", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\evaluate\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\evaluate\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 13, 212
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\evaluate\style\color.scss", "SCSS", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\evaluate\style\h5.scss", "SCSS", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\evaluate\style\index.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\evaluate\style\web.scss", "SCSS", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 12, 94
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\file-upload\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\file-upload\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 5, 87
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\image-upload\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\components\TUIChat\message-input-toolbar\image-upload\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 9, 157
